bucket,n,mean_pred,actual_rate,gap
0%–10%,6829,0.0276,0.1035,-0.076
10%–20%,4472,0.1663,0.1762,-0.0099
20%–30%,4725,0.2334,0.2533,-0.0199
30%–40%,4760,0.3562,0.3418,0.0144
40%–50%,5328,0.4497,0.4493,0.0003
50%–60%,6441,0.5472,0.5113,0.036
60%–70%,9894,0.6407,0.6154,0.0253
70%–80%,6059,0.7286,0.7476,-0.019
80%–90%,4474,0.8587,0.9063,-0.0476
90%–100%,3804,0.9593,0.9879,-0.0286
