bucket,n,mean_pred,actual_rate,gap
0%–10%,46191,0.0361,0.0318,0.0042
10%–20%,32068,0.1536,0.1718,-0.0182
20%–30%,37780,0.2489,0.2922,-0.0432
30%–40%,39921,0.3508,0.3983,-0.0475
40%–50%,47380,0.4517,0.5047,-0.0531
50%–60%,50448,0.5498,0.5793,-0.0295
60%–70%,51074,0.6506,0.6412,0.0095
70%–80%,51641,0.7496,0.738,0.0116
80%–90%,46462,0.8476,0.8104,0.0372
90%–100%,79211,0.964,0.9642,-0.0002
