bucket,n,mean_pred,actual_rate,gap
0%–10%,49349,0.0308,0.0393,-0.0085
10%–20%,14705,0.1705,0.1699,0.0006
20%–30%,43441,0.2777,0.2445,0.0332
30%–40%,56576,0.3612,0.3933,-0.0322
40%–50%,52302,0.4631,0.5252,-0.0621
50%–60%,25500,0.5604,0.5872,-0.0268
60%–70%,44238,0.6529,0.6309,0.022
70%–80%,56032,0.731,0.7039,0.0271
80%–90%,66189,0.8667,0.8047,0.062
90%–100%,70923,0.9719,0.9681,0.0037
