bucket,n,mean_pred,actual_rate,gap
0%–10%,54145,0.0331,0.086,-0.0529
10%–20%,34077,0.1501,0.2638,-0.1137
20%–30%,37550,0.2493,0.3334,-0.0841
30%–40%,35829,0.3524,0.4114,-0.059
40%–50%,41893,0.4524,0.4847,-0.0323
50%–60%,49413,0.5532,0.5633,-0.01
60%–70%,49917,0.6479,0.6384,0.0095
70%–80%,42603,0.7494,0.7225,0.0269
80%–90%,44018,0.8501,0.7798,0.0703
90%–100%,92731,0.9692,0.9266,0.0426
