bucket,n,mean_pred,actual_rate,gap
0%–10%,44085,0.0165,0.0546,-0.0381
10%–20%,26344,0.1757,0.2375,-0.0618
20%–30%,14628,0.2393,0.2775,-0.0382
30%–40%,51996,0.3418,0.3402,0.0017
40%–50%,59835,0.4554,0.4595,-0.0041
50%–60%,61760,0.5563,0.5573,-0.001
60%–70%,59305,0.6685,0.6589,0.0096
70%–80%,31662,0.7472,0.7372,0.01
80%–90%,66771,0.8728,0.8034,0.0694
90%–100%,62523,0.9649,0.9646,0.0003
