bucket,n,mean_pred,actual_rate,gap
0%–10%,18002,0.0219,0.1858,-0.1639
10%–20%,4006,0.1354,0.3662,-0.2308
20%–30%,10,0.2477,0.5,-0.2523
30%–40%,3149,0.3228,0.4735,-0.1507
40%–50%,1441,0.4798,0.4802,-0.0004
50%–60%,6030,0.5771,0.5111,0.066
60%–70%,3647,0.6349,0.5492,0.0856
70%–80%,3,0.7235,1.0,-0.2765
80%–90%,8693,0.8357,0.6701,0.1657
90%–100%,3674,0.9777,0.7667,0.211
