bucket,n,mean_pred,actual_rate,gap
0%–10%,26350,0.0326,0.1079,-0.0753
10%–20%,16983,0.1508,0.2204,-0.0696
20%–30%,15525,0.2501,0.2561,-0.0061
30%–40%,16588,0.3491,0.3541,-0.005
40%–50%,21339,0.4495,0.4446,0.0049
50%–60%,22910,0.5522,0.5469,0.0053
60%–70%,28193,0.6498,0.6512,-0.0014
70%–80%,23917,0.7497,0.7297,0.02
80%–90%,24113,0.8498,0.7773,0.0725
90%–100%,45890,0.9674,0.9435,0.0239
