bucket,n,mean_pred,actual_rate,gap
0%–10%,24746,0.0303,0.1005,-0.0702
10%–20%,3884,0.1472,0.1988,-0.0516
20%–30%,22045,0.2435,0.2289,0.0146
30%–40%,24837,0.3547,0.3286,0.0262
40%–50%,38674,0.4678,0.4857,-0.0179
50%–60%,28932,0.5721,0.6366,-0.0645
60%–70%,33625,0.6764,0.726,-0.0496
70%–80%,8572,0.7684,0.7736,-0.0051
80%–90%,10682,0.8586,0.7833,0.0753
90%–100%,28881,0.9333,0.9111,0.0221
