bucket,n,mean_pred,actual_rate,gap
0%–10%,6837,0.0303,0.1019,-0.0716
10%–20%,5478,0.1783,0.1931,-0.0149
20%–30%,4255,0.2492,0.262,-0.0129
30%–40%,4944,0.3703,0.3473,0.023
40%–50%,4258,0.4566,0.4716,-0.015
50%–60%,6353,0.5397,0.5081,0.0315
60%–70%,10550,0.6397,0.6109,0.0288
70%–80%,5628,0.726,0.7445,-0.0185
80%–90%,4404,0.8561,0.8967,-0.0406
90%–100%,4400,0.9534,0.9891,-0.0357
