bucket,n,mean_pred,actual_rate,gap
0%–10%,6353,0.0233,0.0941,-0.0708
10%–20%,5789,0.1644,0.1902,-0.0258
20%–30%,3708,0.2414,0.253,-0.0115
30%–40%,7071,0.3586,0.3671,-0.0086
40%–50%,834,0.4109,0.476,-0.0652
50%–60%,8914,0.5381,0.5011,0.037
60%–70%,7918,0.6221,0.5978,0.0244
70%–80%,8522,0.7445,0.7377,0.0067
80%–90%,3584,0.8617,0.9149,-0.0532
90%–100%,4243,0.9594,0.988,-0.0286
