bucket,n,mean_pred,actual_rate,gap
0%–10%,16349,0.0201,0.0154,0.0047
10%–20%,9261,0.1604,0.1318,0.0286
20%–30%,26489,0.2556,0.2349,0.0207
30%–40%,19918,0.3578,0.3533,0.0044
40%–50%,26197,0.4546,0.4617,-0.0071
50%–60%,27013,0.5503,0.5774,-0.0271
60%–70%,40997,0.6483,0.6676,-0.0194
70%–80%,19646,0.7476,0.7487,-0.0011
80%–90%,20645,0.8483,0.8526,-0.0043
90%–100%,34064,0.9646,0.9679,-0.0033
