bucket,n,mean_pred,actual_rate,gap
0%–10%,25083,0.0319,0.0544,-0.0225
10%–20%,16496,0.153,0.2268,-0.0738
20%–30%,16957,0.2523,0.2668,-0.0144
30%–40%,17782,0.3505,0.3914,-0.0409
40%–50%,21720,0.4518,0.4681,-0.0163
50%–60%,25979,0.5534,0.574,-0.0206
60%–70%,26760,0.648,0.6567,-0.0086
70%–80%,24429,0.7497,0.6948,0.0548
80%–90%,21256,0.8495,0.801,0.0485
90%–100%,45346,0.9693,0.9497,0.0196
