bucket,n,mean_pred,actual_rate,gap
0%–10%,6831,0.0201,0.1009,-0.0808
10%–20%,2228,0.176,0.1369,0.0391
20%–30%,7186,0.2397,0.2469,-0.0072
30%–40%,2391,0.3704,0.3183,0.0521
40%–50%,3774,0.4807,0.3874,0.0933
50%–60%,8335,0.5571,0.489,0.0681
60%–70%,11264,0.6324,0.5996,0.0327
70%–80%,4037,0.7289,0.7181,0.0108
80%–90%,3670,0.8379,0.8025,0.0354
90%–100%,4924,0.9692,0.9417,0.0275
