bucket,n,mean_pred,actual_rate,gap
0%–10%,7268,0.0274,0.1044,-0.0771
10%–20%,4180,0.1513,0.188,-0.0368
20%–30%,4729,0.247,0.2531,-0.0061
30%–40%,5440,0.3546,0.3395,0.0151
40%–50%,5303,0.4534,0.4716,-0.0182
50%–60%,7162,0.5555,0.5242,0.0313
60%–70%,9082,0.6489,0.6372,0.0117
70%–80%,5302,0.7427,0.7476,-0.0049
80%–90%,4093,0.8507,0.8942,-0.0435
90%–100%,7241,0.9761,0.9939,-0.0179
